SampleID	Condition	TimePoint	Treatment	Date
906.ITS	Lb40788	Day.8	Lb40788.Day.8	2015-10-10
907.ITS	Lb40788	Day.8	Lb40788.Day.8	2015-10-10
908.ITS	Lb40788	Day.8	Lb40788.Day.8	2015-10-10
911.ITS	Lb40788	Day.16	Lb40788.Day.16	2015-10-18
912.ITS	Lb40788	Day.16	Lb40788.Day.16	2015-10-18
913.ITS	Lb40788	Day.16	Lb40788.Day.16	2015-10-18
916.ITS	Lb40788	Day.32	Lb40788.Day.32	2015-11-03
917.ITS	Lb40788	Day.32	Lb40788.Day.32	2015-11-03
918.ITS	Lb40788	Day.32	Lb40788.Day.32	2015-11-03
921.ITS	Lb40788	Day.64	Lb40788.Day.64	2015-12-05
922.ITS	Lb40788	Day.64	Lb40788.Day.64	2015-12-05
923.ITS	Lb40788	Day.64	Lb40788.Day.64	2015-12-05
926.ITS	Lh4785	Fresh	Lh4785.Fresh	2015-10-02
927.ITS	Lh4785	Fresh	Lh4785.Fresh	2015-10-02
928.ITS	Lh4785	Fresh	Lh4785.Fresh	2015-10-02
931.ITS	Lh4785	Day.1	Lh4785.Day.1	2015-10-03
932.ITS	Lh4785	Day.1	Lh4785.Day.1	2015-10-03
933.ITS	Lh4785	Day.1	Lh4785.Day.1	2015-10-03
936.ITS	Lh4785	Day.2	Lh4785.Day.2	2015-10-04
937.ITS	Lh4785	Day.2	Lh4785.Day.2	2015-10-04
938.ITS	Lh4785	Day.2	Lh4785.Day.2	2015-10-04
941.ITS	Lh4785	Day.4	Lh4785.Day.4	2015-10-06
942.ITS	Lh4785	Day.4	Lh4785.Day.4	2015-10-06
943.ITS	Lh4785	Day.4	Lh4785.Day.4	2015-10-06
946.ITS	Lh4785	Day.8	Lh4785.Day.8	2015-10-10
947.ITS	Lh4785	Day.8	Lh4785.Day.8	2015-10-10
948.ITS	Lh4785	Day.8	Lh4785.Day.8	2015-10-10
951.ITS	Lh4785	Day.16	Lh4785.Day.16	2015-10-18
952.ITS	Lh4785	Day.16	Lh4785.Day.16	2015-10-18
953.ITS	Lh4785	Day.16	Lh4785.Day.16	2015-10-18
956.ITS	Lh4785	Day.32	Lh4785.Day.32	2015-11-03
957.ITS	Lh4785	Day.32	Lh4785.Day.32	2015-11-03
958.ITS	Lh4785	Day.32	Lh4785.Day.32	2015-11-03
961.ITS	Lh4785	Day.64	Lh4785.Day.64	2015-12-05
962.ITS	Lh4785	Day.64	Lh4785.Day.64	2015-12-05
963.ITS	Lh4785	Day.64	Lh4785.Day.64	2015-12-05
966.ITS	Lb_Lh	Fresh	Lb_Lh.Fresh	2015-10-02
967.ITS	Lb_Lh	Fresh	Lb_Lh.Fresh	2015-10-02
968.ITS	Lb_Lh	Fresh	Lb_Lh.Fresh	2015-10-02
971.ITS	Lb_Lh	Day.1	Lb_Lh.Day.1	2015-10-03
972.ITS	Lb_Lh	Day.1	Lb_Lh.Day.1	2015-10-03
973.ITS	Lb_Lh	Day.1	Lb_Lh.Day.1	2015-10-03
976.ITS	Lb_Lh	Day.2	Lb_Lh.Day.2	2015-10-04
977.ITS	Lb_Lh	Day.2	Lb_Lh.Day.2	2015-10-04
978.ITS	Lb_Lh	Day.2	Lb_Lh.Day.2	2015-10-04
981.ITS	Lb_Lh	Day.4	Lb_Lh.Day.4	2015-10-06
982.ITS	Lb_Lh	Day.4	Lb_Lh.Day.4	2015-10-06
983.ITS	Lb_Lh	Day.4	Lb_Lh.Day.4	2015-10-06
986.ITS	Lb_Lh	Day.8	Lb_Lh.Day.8	2015-10-10
987.ITS	Lb_Lh	Day.8	Lb_Lh.Day.8	2015-10-10
988.ITS	Lb_Lh	Day.8	Lb_Lh.Day.8	2015-10-10
991.ITS	Lb_Lh	Day.16	Lb_Lh.Day.16	2015-10-18
992.ITS	Lb_Lh	Day.16	Lb_Lh.Day.16	2015-10-18
993.ITS	Lb_Lh	Day.16	Lb_Lh.Day.16	2015-10-18
996.ITS	Lb_Lh	Day.32	Lb_Lh.Day.32	2015-11-03
997.ITS	Lb_Lh	Day.32	Lb_Lh.Day.32	2015-11-03
998.ITS	Lb_Lh	Day.32	Lb_Lh.Day.32	2015-11-03
1001.ITS	Lb_Lh	Day.64	Lb_Lh.Day.64	2015-12-05
1002.ITS	Lb_Lh	Day.64	Lb_Lh.Day.64	2015-12-05
1003.ITS	Lb_Lh	Day.64	Lb_Lh.Day.64	2015-12-05
